边 : 卖 0 | 迷 1 | 亮 2 | 屋 3 | 盖 4 | 衣 5 | 举 6 | 昌 7 | 房 8 | 患 9 | 癌 10 | 症 11 | 瓜 12 | 伤 13 | 净 14 | 池 15 | 冒 16 | 伸 17 | 征 18 | 腾 19 | 

念 : 守 0 | 跃 1 | 邦 2 | 击 3 | 视 4 | 迹 5 | 票 6 | 润 7 | 赠 8 | 汛 9 | 判 10 | 值 11 | 拔 12 | 洁 13 | 蓄 14 | 洋 15 | 径 16 | 村 17 | 疾 18 | 煌 19 | 

千 : 前 0 | 半 1 | 获 2 | 就 3 | 短 4 | 此 5 | 连 6 | 得 7 | 抓 8 | 找 9 | 脱 10 | 补 11 | 密 12 | 近 13 | 落 14 | 升 15 | 亲 16 | 避 17 | 足 18 | 减 19 | 

亲 : 昌 0 | 房 1 | 迷 2 | 衣 3 | 屋 4 | 盖 5 | 佩 6 | 疾 7 | 池 8 | 景 9 | 症 10 | 征 11 | 客 12 | 徒 13 | 瓜 14 | 癌 15 | 血 16 | 伤 17 | 彩 18 | 亮 19 | 

均 : 征 0 | 净 1 | 税 2 | 留 3 | 弃 4 | 举 5 | 卷 6 | 迷 7 | 购 8 | 欠 9 | 徒 10 | 亮 11 | 词 12 | 症 13 | 伸 14 | 付 15 | 伤 16 | 溪 17 | 册 18 | 估 19 | 

艇 : 椅 0 | 肤 1 | 潭 2 | 淤 3 | 藤 4 | 恋 5 | 烦 6 | 尾 7 | 酿 8 | 冻 9 | 渣 10 | 翠 11 | 纱 12 | 坑 13 | 绳 14 | 臂 15 | 梯 16 | 冈 17 | 雀 18 | 斥 19 | 

蓬 : 缉 0 | 描 1 | 抛 2 | 粗 3 | 缅 4 | 辐 5 | 框 6 | 辅 7 | 慷 8 | 雇 9 | 钓 10 | 湘 11 | 夹 12 | 灿 13 | 迈 14 | 牡 15 | 谐 16 | 披 17 | 漂 18 | 芬 19 | 

史 : 票 0 | 入 1 | 止 2 | 式 3 | 言 4 | 觉 5 | 击 6 | 洁 7 | 邦 8 | 望 9 | 村 10 | 煌 11 | 睛 12 | 视 13 | 迹 14 | 判 15 | 跃 16 | 势 17 | 拔 18 | 值 19 | 

服 : 举 0 | 送 1 | 转 2 | 带 3 | 写 4 | 市 5 | 获 6 | 通 7 | 亮 8 | 留 9 | 城 10 | 返 11 | 过 12 | 脱 13 | 痛 14 | 升 15 | 补 16 | 涨 17 | 土 18 | 迷 19 | 

专 : 脱 0 | 转 1 | 补 2 | 足 3 | 升 4 | 独 5 | 某 6 | 写 7 | 获 8 | 带 9 | 密 10 | 回 11 | 涨 12 | 连 13 | 目 14 | 约 15 | 压 16 | 截 17 | 软 18 | 落 19 | 

． : 千 0 | 此 1 | 该 2 | 至 3 | 你 4 | 只 5 | 们 6 | 就 7 | 既 8 | 求 9 | 他 10 | 半 11 | 以 12 | 得 13 | 今 14 | 渐 15 | 由 16 | 取 17 | 抓 18 | 谁 19 | 

认 : 审 0 | 创 1 | 调 2 | 谈 3 | 压 4 | 赞 5 | 课 6 | 拥 7 | 软 8 | 恢 9 | 借 10 | 农 11 | 揭 12 | 目 13 | 具 14 | 禁 15 | 感 16 | 救 17 | 认 18 | 独 19 | 

运 : 村 0 | 留 1 | 景 2 | 付 3 | 过 4 | 星 5 | 字 6 | 架 7 | 疑 8 | 身 9 | 误 10 | 卷 11 | 赛 12 | 岛 13 | 偿 14 | 写 15 | 亮 16 | 功 17 | 弃 18 | 约 19 | 

蟾 : 砾 0 | 谑 1 | 隽 2 | 耒 3 | 赓 4 | 撷 5 | 怏 6 | 岷 7 | 坨 8 | 琨 9 | 脓 10 | 圪 11 | 钒 12 | → 13 | 陛 14 | 妓 15 | 靛 16 | 卤 17 | 硼 18 | 菩 19 | 

囿 : 舔 0 | 碣 1 | 筵 2 | 谕 3 | 邈 4 | 鲢 5 | 渑 6 | 骧 7 | 谤 8 | 颍 9 | 唉 10 | 蕤 11 | 擘 12 | 悯 13 | 酪 14 | 湄 15 | 纰 16 | 噌 17 | 浣 18 | 踉 19 | 

麾 : 妖 0 | 羹 1 | 胤 2 | 盹 3 | 睬 4 | 腆 5 | 稣 6 | 轶 7 | 菩 8 | 锏 9 | 糯 10 | 嶙 11 | 噜 12 | 珲 13 | 狡 14 | 葩 15 | 濮 16 | 猕 17 | 徨 18 | 枇 19 | 

血 : 洞 0 | 野 1 | 皇 2 | 勤 3 | 狂 4 | 柳 5 | 皮 6 | 冒 7 | 汤 8 | 珠 9 | 磨 10 | 穿 11 | 柴 12 | 荆 13 | 歌 14 | 甲 15 | 暗 16 | 湘 17 | 泡 18 | 漏 19 | 

洋 : 疾 0 | 谢 1 | 蓄 2 | 佩 3 | 萄 4 | 景 5 | 御 6 | 洁 7 | 刷 8 | 暖 9 | 贺 10 | 菜 11 | 扰 12 | 旨 13 | 泊 14 | 盖 15 | 房 16 | 润 17 | 徒 18 | 洋 19 | 

笔 : 荆 0 | 硬 1 | 寄 2 | 漂 3 | 填 4 | 暂 5 | 湘 6 | 墨 7 | 粗 8 | 肩 9 | 攀 10 | 抵 11 | 钻 12 | 弄 13 | 详 14 | 迈 15 | 隔 16 | 纵 17 | 薄 18 | 穿 19 | 

慰 : 锡 0 | 冈 1 | 佩 2 | 泊 3 | 潭 4 | 醉 5 | 茵 6 | 菊 7 | 艇 8 | 穴 9 | 肤 10 | 撼 11 | 溪 12 | 踪 13 | 颂 14 | 虐 15 | 臂 16 | 纱 17 | 秆 18 | 荫 19 | 

言 : 迹 0 | 票 1 | 跃 2 | 村 3 | 拔 4 | 议 5 | 邦 6 | 线 7 | 判 8 | 蓄 9 | 润 10 | 视 11 | 值 12 | 御 13 | 扰 14 | 型 15 | 疾 16 | 赠 17 | 赛 18 | 汛 19 | 

八 : 半 0 | 此 1 | 短 2 | 避 3 | 你 4 | 就 5 | 连 6 | 找 7 | 减 8 | 抓 9 | 获 10 | 落 11 | 只 12 | 回 13 | 得 14 | 升 15 | 近 16 | 冬 17 | 亲 18 | 补 19 | 

溜 : 绥 0 | 俯 1 | 钉 2 | 牟 3 | 栖 4 | 肾 5 | 嗓 6 | 羞 7 | 绚 8 | 铝 9 | 溜 10 | 萎 11 | 冤 12 | 哗 13 | 鞍 14 | 跻 15 | 樱 16 | 瞒 17 | 敷 18 | 绑 19 | 

驻 : 墨 0 | 阵 1 | 硬 2 | 弄 3 | 磨 4 | 隔 5 | 勤 6 | 宽 7 | 坐 8 | 凭 9 | 抱 10 | 写 11 | 肩 12 | 借 13 | 懂 14 | 填 15 | 抵 16 | 封 17 | 暂 18 | 纵 19 | 

