<unk>591 : 卖 0 | 迷 1 | 亮 2 | 

<unk>594 : 守 0 | 跃 1 | 邦 2 | 

<unk>597 : 前 0 | 半 1 | 获 2 | 

<unk>600 : 昌 0 | 房 1 | 迷 2 | 

<unk>603 : 征 0 | 净 1 | 税 2 | 

<unk>1,884 : 椅 0 | 肤 1 | 潭 2 | 

<unk>1,887 : 缉 0 | 描 1 | 抛 2 | 

<unk>357 : 票 0 | 入 1 | 止 2 | 

<unk>354 : 举 0 | 送 1 | 转 2 | 

<unk>351 : 脱 0 | 转 1 | 补 2 | 

<unk>288 : 千 0 | 此 1 | 该 2 | 

<unk>285 : 审 0 | 创 1 | 调 2 | 

<unk>282 : 村 0 | 留 1 | 景 2 | 

<unk>4,221 : 砾 0 | 谑 1 | 隽 2 | 

<unk>4,224 : 舔 0 | 碣 1 | 筵 2 | 

<unk>4,227 : 妖 0 | 羹 1 | 胤 2 | 

<unk>915 : 洞 0 | 野 1 | 皇 2 | 

<unk>912 : 疾 0 | 谢 1 | 蓄 2 | 

<unk>918 : 荆 0 | 硬 1 | 寄 2 | 

<unk>1,635 : 锡 0 | 冈 1 | 佩 2 | 

<unk>606 : 迹 0 | 票 1 | 跃 2 | 

<unk>609 : 半 0 | 此 1 | 短 2 | 

<unk>2,634 : 绥 0 | 俯 1 | 钉 2 | 

<unk>828 : 墨 0 | 阵 1 | 硬 2 | 

<unk>4,536 : 毖 0 | 鄯 1 | 啭 2 | 

<unk>4,530 : 恽 0 | 煸 1 | 芡 2 | 

<unk>4,533 : 肽 0 | 胱 1 | 鲟 2 | 

<unk>822 : 击 0 | 邦 1 | 跃 2 | 

<unk>825 : 福 0 | 歌 1 | 宝 2 | 

<unk>69 : 过 0 | 送 1 | 胜 2 | 

<unk>66 : 事 0 | 灾 1 | 通 2 | 

<unk>63 : 就 0 | 获 1 | 由 2 | 

<unk>60 : 方 0 | 成 1 | 谈 2 | 

<unk>4,401 : 甭 0 | 靛 1 | 汴 2 | 

<unk>4,404 : 琨 0 | 燧 1 | 赓 2 | 

<unk>4,407 : 阉 0 | 遛 1 | 祜 2 | 

<unk>1,656 : 仗 0 | 烂 1 | 锡 2 | 

<unk>1,650 : 柳 0 | 霍 1 | 汤 2 | 

<unk>1,653 : 稍 0 | 填 1 | 砍 2 | 

<unk>1,659 : 尾 0 | 冻 1 | 闲 2 | 

<unk>1,431 : 池 0 | 佩 1 | 盖 2 | 

<unk>1,434 : 净 0 | 浸 1 | 募 2 | 

<unk>1,437 : 癌 0 | 迷 1 | 腾 2 | 

<unk>2,964 : 晖 0 | 斥 1 | 隙 2 | 

<unk>2,967 : 琐 0 | 骋 1 | 贼 2 | 

<unk>2,961 : 拎 0 | 殃 1 | 炫 2 | 

<unk>4,719 : 唏 0 | 荥 1 | 龛 2 | 

<unk>4,716 : 隍 0 | 蕃 1 | 嗷 2 | 

<unk>4,710 : 邗 0 | 鲲 1 | 娲 2 | 

<unk>4,713 : 阄 0 | 魇 1 | 蜃 2 | 

<unk>1,347 : 伸 0 | 欠 1 | 烦 2 | 

<unk>1,344 : 抱 0 | 扣 1 | 聘 2 | 

<unk>3,519 : 挛 0 | 圄 1 | 唆 2 | 

<unk>1,341 : 译 0 | 醉 1 | 烂 2 | 

<unk>3,516 : 弧 0 | 炫 1 | 雌 2 | 

<unk>3,510 : 摹 0 | 檀 1 | 瑜 2 | 

<unk>3,513 : 泗 0 | 驴 1 | 薹 2 | 

<unk>1,509 : 腾 0 | 迷 1 | 梯 2 | 

<unk>2,811 : 侃 0 | 仑 1 | 腕 2 | 

<unk>1,506 : 冻 0 | 烦 1 | 淡 2 | 

